candidat_id,filiere_code,parcours_id,score_compatibilite,est_admissible,est_recommandee
STD_2026_0014,GCA,P2,84.01,Oui,Non
STD_2026_0014,ICMP,P2,83.04,Oui,Non
STD_2026_0014,ESIIA,P3,57.83,Non,Non
STD_2026_0014,IGGLIA,P3,81.17,Oui,Non
STD_2026_0014,IMTICIA,P3,79.11,Oui,Non
STD_2026_0014,ISAIA,P3,82.86,Oui,Non
STD_2026_0014,TEE,P4,78.2,Oui,Non
STD_2026_0014,TEH,P4,89.46,Oui,Non
STD_2026_0014,CAA,P5,79.71,Oui,Non
STD_2026_0014,DTJA,P5,75.15,Oui,Non
STD_2026_0014,EMP,P5,82.4,Oui,Oui
STD_2026_0014,FIC,P5,84.02,Oui,Non
STD_2026_0015,AEE,P1,78.08,Oui,Non
STD_2026_0015,IAA,P1,85.65,Oui,Non
STD_2026_0015,PIP,P1,83.12,Oui,Non
STD_2026_0015,EMII,P2,83.7,Oui,Non
STD_2026_0015,GCA,P2,84.2,Oui,Non
STD_2026_0015,ICMP,P2,90.55,Oui,Non
STD_2026_0015,ESIIA,P3,85.17,Oui,Non
STD_2026_0015,IGGLIA,P3,77.04,Oui,Non
STD_2026_0015,IMTICIA,P3,78.16,Oui,Non
STD_2026_0015,ISAIA,P3,77.38,Oui,Non
STD_2026_0015,TEE,P4,77.32,Oui,Non
STD_2026_0015,TEH,P4,57.18,Non,Non
STD_2026_0015,CAA,P5,82.55,Oui,Non
STD_2026_0015,DTJA,P5,54.54,Non,Non
STD_2026_0015,EMP,P5,77.5,Oui,Non
STD_2026_0015,FIC,P5,84.24,Oui,Oui
STD_2026_0016,AEE,P1,44.66,Non,Oui
STD_2026_0016,IAA,P1,48.52,Non,Non
STD_2026_0016,PIP,P1,44.52,Non,Non
STD_2026_0016,EMII,P2,47.65,Non,Non
STD_2026_0016,GCA,P2,50.3,Non,Non
STD_2026_0016,ICMP,P2,34.4,Non,Non
STD_2026_0016,ESIIA,P3,53.77,Non,Non
STD_2026_0016,IGGLIA,P3,75.96,Oui,Non
STD_2026_0016,IMTICIA,P3,67.55,Sous condition,Non
STD_2026_0016,ISAIA,P3,67.02,Sous condition,Non
STD_2026_0016,TEE,P4,75.82,Oui,Non
STD_2026_0016,TEH,P4,78.25,Oui,Non
STD_2026_0016,CAA,P5,77.54,Oui,Non
STD_2026_0016,DTJA,P5,67.93,Sous condition,Non
STD_2026_0016,EMP,P5,73.39,Sous condition,Non
STD_2026_0016,FIC,P5,83.18,Oui,Non
STD_2026_0017,AEE,P1,47.48,Non,Non
STD_2026_0017,IAA,P1,74.73,Sous condition,Oui
STD_2026_0017,PIP,P1,48.15,Non,Non
STD_2026_0017,EMII,P2,82.6,Oui,Non
STD_2026_0017,GCA,P2,73.69,Sous condition,Non
STD_2026_0017,ICMP,P2,70.21,Sous condition,Non
STD_2026_0017,ESIIA,P3,76.69,Oui,Non
STD_2026_0017,IGGLIA,P3,72.7,Sous condition,Non
STD_2026_0017,IMTICIA,P3,76.86,Oui,Non
STD_2026_0017,ISAIA,P3,51.96,Non,Non
STD_2026_0017,TEE,P4,46.85,Non,Non
STD_2026_0017,TEH,P4,48.18,Non,Non
STD_2026_0017,CAA,P5,44.22,Non,Non
STD_2026_0017,DTJA,P5,56.01,Non,Non
STD_2026_0017,EMP,P5,48.37,Non,Non
STD_2026_0017,FIC,P5,48.02,Non,Non
STD_2026_0018,AEE,P1,75.58,Oui,Non
STD_2026_0018,IAA,P1,54.24,Non,Non
STD_2026_0018,PIP,P1,49.55,Non,Oui
STD_2026_0018,EMII,P2,40.12,Non,Non
STD_2026_0018,GCA,P2,45.98,Non,Non
STD_2026_0018,ICMP,P2,48.01,Non,Non
STD_2026_0018,ESIIA,P3,49.83,Non,Non
STD_2026_0018,IGGLIA,P3,78.21,Oui,Non
STD_2026_0018,IMTICIA,P3,77.32,Oui,Non
STD_2026_0018,ISAIA,P3,54.92,Non,Non
STD_2026_0018,TEE,P4,78.19,Oui,Non
STD_2026_0018,TEH,P4,76.38,Oui,Non
STD_2026_0018,CAA,P5,75.81,Oui,Non
STD_2026_0018,DTJA,P5,83.49,Oui,Non
STD_2026_0018,EMP,P5,72.67,Sous condition,Non
STD_2026_0018,FIC,P5,56.05,Non,Non
STD_2026_0019,AEE,P1,78.35,Oui,Non
STD_2026_0019,IAA,P1,54.05,Non,Non
STD_2026_0019,PIP,P1,46.43,Non,Non
STD_2026_0019,EMII,P2,38.09,Non,Oui
STD_2026_0019,GCA,P2,51.37,Non,Non
STD_2026_0019,ICMP,P2,54.69,Non,Non
STD_2026_0019,ESIIA,P3,38.29,Non,Non
STD_2026_0019,IGGLIA,P3,72.65,Sous condition,Non
STD_2026_0019,IMTICIA,P3,77.47,Oui,Non
STD_2026_0019,ISAIA,P3,40.65,Non,Non
STD_2026_0019,TEE,P4,81.45,Oui,Non
STD_2026_0019,TEH,P4,86.67,Oui,Non
STD_2026_0019,CAA,P5,67.86,Sous condition,Non
STD_2026_0019,DTJA,P5,75.75,Oui,Non
STD_2026_0019,EMP,P5,73.6,Sous condition,Non
STD_2026_0019,FIC,P5,50.83,Non,Non
STD_2026_0020,AEE,P1,77.06,Oui,Non
STD_2026_0020,IAA,P1,45.29,Non,Non
STD_2026_0020,PIP,P1,49.98,Non,Non
STD_2026_0020,EMII,P2,49.06,Non,Non
STD_2026_0020,GCA,P2,43.72,Non,Oui
STD_2026_0020,ICMP,P2,44.11,Non,Non
STD_2026_0020,ESIIA,P3,46.03,Non,Non
STD_2026_0020,IGGLIA,P3,73.74,Sous condition,Non
STD_2026_0020,IMTICIA,P3,78.03,Oui,Non
STD_2026_0020,ISAIA,P3,54.01,Non,Non
STD_2026_0020,TEE,P4,75.44,Oui,Non
STD_2026_0020,TEH,P4,74.0,Sous condition,Non
STD_2026_0020,CAA,P5,71.28,Sous condition,Non
STD_2026_0020,DTJA,P5,80.19,Oui,Non
STD_2026_0020,EMP,P5,75.53,Oui,Non
STD_2026_0020,FIC,P5,47.22,Non,Non
STD_2026_0021,AEE,P1,49.83,Non,Non
STD_2026_0021,IAA,P1,50.13,Non,Non
STD_2026_0021,PIP,P1,53.9,Non,Non
STD_2026_0021,EMII,P2,45.46,Non,Non
STD_2026_0021,GCA,P2,38.54,Non,Non
STD_2026_0021,ICMP,P2,42.43,Non,Oui
STD_2026_0021,ESIIA,P3,52.36,Non,Non
STD_2026_0021,IGGLIA,P3,49.97,Non,Non
STD_2026_0021,IMTICIA,P3,85.73,Oui,Non
STD_2026_0021,ISAIA,P3,53.16,Non,Non
STD_2026_0021,TEE,P4,76.47,Oui,Non
STD_2026_0021,TEH,P4,77.46,Oui,Non
STD_2026_0021,CAA,P5,76.42,Oui,Non
STD_2026_0021,DTJA,P5,75.37,Oui,Non
STD_2026_0021,EMP,P5,58.81,Non,Non
STD_2026_0021,FIC,P5,48.58,Non,Non
STD_2026_0022,AEE,P1,79.13,Oui,Non
STD_2026_0022,IAA,P1,79.29,Oui,Non
STD_2026_0022,PIP,P1,80.12,Oui,Non
STD_2026_0022,EMII,P2,85.95,Oui,Non
STD_2026_0022,GCA,P2,79.02,Oui,Non
STD_2026_0022,ICMP,P2,85.27,Oui,Non
STD_2026_0022,ESIIA,P3,79.69,Oui,Oui
STD_2026_0022,IGGLIA,P3,79.79,Oui,Non
STD_2026_0022,IMTICIA,P3,74.99,Sous condition,Non
STD_2026_0022,ISAIA,P3,77.3,Oui,Non
STD_2026_0022,TEE,P4,46.46,Non,Non
STD_2026_0022,TEH,P4,44.54,Non,Non
STD_2026_0022,CAA,P5,83.68,Oui,Non
STD_2026_0022,DTJA,P5,46.85,Non,Non
STD_2026_0022,EMP,P5,77.77,Oui,Non
STD_2026_0022,FIC,P5,81.51,Oui,Non
STD_2026_0023,AEE,P1,84.02,Oui,Non
STD_2026_0023,IAA,P1,77.68,Oui,Non
STD_2026_0023,PIP,P1,80.95,Oui,Non
STD_2026_0023,EMII,P2,82.41,Oui,Non
STD_2026_0023,GCA,P2,82.91,Oui,Non
STD_2026_0023,ICMP,P2,80.55,Oui,Non
STD_2026_0023,ESIIA,P3,55.72,Non,Non
STD_2026_0023,IGGLIA,P3,76.63,Oui,Oui
STD_2026_0023,IMTICIA,P3,75.61,Oui,Non
STD_2026_0023,ISAIA,P3,76.33,Oui,Non
STD_2026_0023,TEE,P4,72.09,Sous condition,Non
STD_2026_0023,TEH,P4,75.94,Oui,Non
STD_2026_0023,CAA,P5,73.74,Sous condition,Non
STD_2026_0023,DTJA,P5,69.99,Sous condition,Non
STD_2026_0023,EMP,P5,71.73,Sous condition,Non
STD_2026_0023,FIC,P5,79.66,Oui,Non
STD_2026_0024,AEE,P1,80.97,Oui,Non
STD_2026_0024,IAA,P1,82.19,Oui,Non
STD_2026_0024,PIP,P1,73.87,Sous condition,Non
STD_2026_0024,EMII,P2,72.54,Sous condition,Non
STD_2026_0024,GCA,P2,81.22,Oui,Non
STD_2026_0024,ICMP,P2,80.77,Oui,Non
STD_2026_0024,ESIIA,P3,69.48,Sous condition,Non
STD_2026_0024,IGGLIA,P3,78.33,Oui,Non
STD_2026_0024,IMTICIA,P3,77.19,Oui,Oui
STD_2026_0024,ISAIA,P3,81.62,Oui,Non
STD_2026_0024,TEE,P4,79.41,Oui,Non
STD_2026_0024,TEH,P4,60.35,Non,Non
STD_2026_0024,CAA,P5,72.83,Sous condition,Non
STD_2026_0024,DTJA,P5,48.2,Non,Non
STD_2026_0024,EMP,P5,74.57,Sous condition,Non
STD_2026_0024,FIC,P5,88.66,Oui,Non
STD_2026_0025,AEE,P1,54.58,Non,Non
STD_2026_0025,IAA,P1,58.61,Non,Non
STD_2026_0025,PIP,P1,59.03,Non,Non
STD_2026_0025,EMII,P2,64.09,Non,Non
STD_2026_0025,GCA,P2,55.58,Non,Non
STD_2026_0025,ICMP,P2,63.77,Non,Non
STD_2026_0025,ESIIA,P3,62.55,Non,Non
STD_2026_0025,IGGLIA,P3,80.56,Oui,Non
STD_2026_0025,IMTICIA,P3,81.67,Oui,Non
STD_2026_0025,ISAIA,P3,86.22,Oui,Oui
STD_2026_0025,TEE,P4,87.18,Oui,Non
STD_2026_0025,TEH,P4,86.19,Oui,Non
STD_2026_0025,CAA,P5,87.53,Oui,Non
STD_2026_0025,DTJA,P5,79.57,Oui,Non
STD_2026_0025,EMP,P5,88.3,Oui,Non
STD_2026_0025,FIC,P5,84.91,Oui,Non
STD_2026_0026,AEE,P1,50.33,Non,Non
STD_2026_0026,IAA,P1,74.78,Sous condition,Non
STD_2026_0026,PIP,P1,49.79,Non,Non
STD_2026_0026,EMII,P2,79.01,Oui,Non
STD_2026_0026,GCA,P2,76.81,Oui,Non
STD_2026_0026,ICMP,P2,84.5,Oui,Non
STD_2026_0026,ESIIA,P3,79.08,Oui,Non
STD_2026_0026,IGGLIA,P3,71.7,Sous condition,Non
STD_2026_0026,IMTICIA,P3,75.9,Oui,Non
STD_2026_0026,ISAIA,P3,47.84,Non,Non
STD_2026_0026,TEE,P4,44.81,Non,Oui
STD_2026_0026,TEH,P4,44.32,Non,Non
STD_2026_0026,CAA,P5,48.84,Non,Non
STD_2026_0026,DTJA,P5,47.75,Non,Non
STD_2026_0026,EMP,P5,52.38,Non,Non
STD_2026_0026,FIC,P5,56.64,Non,Non
STD_2026_0027,AEE,P1,72.15,Sous condition,Non
STD_2026_0027,IAA,P1,55.64,Non,Non
STD_2026_0027,PIP,P1,55.38,Non,Non
STD_2026_0027,EMII,P2,57.66,Non,Non
STD_2026_0027,GCA,P2,51.94,Non,Non
STD_2026_0027,ICMP,P2,47.39,Non,Non
STD_2026_0027,ESIIA,P3,55.48,Non,Non
STD_2026_0027,IGGLIA,P3,77.0,Oui,Non
STD_2026_0027,IMTICIA,P3,83.64,Oui,Non
STD_2026_0027,ISAIA,P3,50.11,Non,Non
STD_2026_0027,TEE,P4,79.08,Oui,Non
STD_2026_0027,TEH,P4,82.8,Oui,Oui
STD_2026_0027,CAA,P5,86.66,Oui,Non
STD_2026_0027,DTJA,P5,82.8,Oui,Non
STD_2026_0027,EMP,P5,74.33,Sous condition,Non
STD_2026_0027,FIC,P5,52.46,Non,Non
STD_2026_0028,AEE,P1,79.64,Oui,Non
STD_2026_0028,IAA,P1,53.98,Non,Non
STD_2026_0028,PIP,P1,54.54,Non,Non
STD_2026_0028,EMII,P2,60.41,Non,Non
STD_2026_0028,GCA,P2,50.61,Non,Non
STD_2026_0028,ICMP,P2,58.94,Non,Non
STD_2026_0028,ESIIA,P3,60.45,Non,Non
STD_2026_0028,IGGLIA,P3,81.31,Oui,Non
STD_2026_0028,IMTICIA,P3,79.31,Oui,Non
STD_2026_0028,ISAIA,P3,59.9,Non,Non
STD_2026_0028,TEE,P4,80.99,Oui,Non
STD_2026_0028,TEH,P4,73.84,Sous condition,Non
STD_2026_0028,CAA,P5,85.24,Oui,Oui
STD_2026_0028,DTJA,P5,76.55,Oui,Non
STD_2026_0028,EMP,P5,73.58,Sous condition,Non
STD_2026_0028,FIC,P5,57.92,Non,Non
STD_2026_0029,AEE,P1,68.86,Sous condition,Non
STD_2026_0029,IAA,P1,39.97,Non,Non
STD_2026_0029,PIP,P1,42.42,Non,Non
STD_2026_0029,EMII,P2,46.76,Non,Non
STD_2026_0029,GCA,P2,52.35,Non,Non
STD_2026_0029,ICMP,P2,36.35,Non,Non
STD_2026_0029,ESIIA,P3,38.69,Non,Non
STD_2026_0029,IGGLIA,P3,68.93,Sous condition,Non
STD_2026_0029,IMTICIA,P3,71.38,Sous condition,Non
STD_2026_0029,ISAIA,P3,45.12,Non,Non
STD_2026_0029,TEE,P4,73.1,Sous condition,Non
STD_2026_0029,TEH,P4,84.48,Oui,Non
STD_2026_0029,CAA,P5,69.86,Sous condition,Non
STD_2026_0029,DTJA,P5,78.34,Oui,Oui
STD_2026_0029,EMP,P5,70.16,Sous condition,Non
STD_2026_0029,FIC,P5,51.08,Non,Non
STD_2026_0030,AEE,P1,47.99,Non,Non
STD_2026_0030,IAA,P1,50.57,Non,Non
STD_2026_0030,PIP,P1,46.88,Non,Non
STD_2026_0030,EMII,P2,48.1,Non,Non
STD_2026_0030,GCA,P2,50.43,Non,Non
STD_2026_0030,ICMP,P2,39.42,Non,Non
STD_2026_0030,ESIIA,P3,44.37,Non,Non
STD_2026_0030,IGGLIA,P3,47.75,Non,Non
STD_2026_0030,IMTICIA,P3,73.13,Sous condition,Non
STD_2026_0030,ISAIA,P3,46.39,Non,Non
STD_2026_0030,TEE,P4,75.02,Oui,Non
STD_2026_0030,TEH,P4,73.28,Sous condition,Non
STD_2026_0030,CAA,P5,72.33,Sous condition,Non
STD_2026_0030,DTJA,P5,78.6,Oui,Non
STD_2026_0030,EMP,P5,47.02,Non,Oui
STD_2026_0030,FIC,P5,43.15,Non,Non
STD_2026_0031,AEE,P1,85.43,Oui,Non
STD_2026_0031,IAA,P1,84.99,Oui,Non
STD_2026_0031,PIP,P1,80.76,Oui,Non
STD_2026_0031,EMII,P2,71.29,Sous condition,Non
STD_2026_0031,GCA,P2,68.09,Sous condition,Non
STD_2026_0031,ICMP,P2,70.53,Sous condition,Non
STD_2026_0031,ESIIA,P3,78.67,Oui,Non
STD_2026_0031,IGGLIA,P3,81.83,Oui,Non
STD_2026_0031,IMTICIA,P3,77.76,Oui,Non
STD_2026_0031,ISAIA,P3,79.74,Oui,Non
STD_2026_0031,TEE,P4,53.05,Non,Non
STD_2026_0031,TEH,P4,51.27,Non,Non
STD_2026_0031,CAA,P5,81.42,Oui,Non
STD_2026_0031,DTJA,P5,51.36,Non,Non
STD_2026_0031,EMP,P5,81.06,Oui,Non
STD_2026_0031,FIC,P5,79.44,Oui,Oui
STD_2026_0032,AEE,P1,81.02,Oui,Oui
STD_2026_0032,IAA,P1,89.89,Oui,Non
STD_2026_0032,PIP,P1,84.07,Oui,Non
STD_2026_0032,EMII,P2,81.15,Oui,Non
STD_2026_0032,GCA,P2,73.62,Sous condition,Non
STD_2026_0032,ICMP,P2,87.91,Oui,Non
