parcours_id,age,sexe,serie,moyenne_generale,preferences_env,objectif_professionnel,filiere_nom,filiere_parcours_id,filiere_parcours_nom,filiere_secteur,nombre_competences,nombre_matieres_fortes,nombre_matieres_faibles,nombre_centres_interet
P5,21,M,A1,13.16,Bureau & Télétravail,Biologiste industriel,Economie et Management de Projet,P5,Techniques des Affaires,Management & Conseil,3,2,2,2
P5,21,M,A1,13.16,Bureau & Télétravail,Biologiste industriel,Finances et Comptabilités,P5,Techniques des Affaires,Finance & Comptabilité,3,2,2,2
P1,18,F,A2,12.12,Laboratoire & R&D,Responsable contrôle qualité labo,Agriculture et Élevage,P1,Biotechnologie et Agronomie,Agriculture / Agronomie,3,2,2,2
P1,18,F,A2,12.12,Laboratoire & R&D,Responsable contrôle qualité labo,Industrie Agroalimentaire,P1,Biotechnologie et Agronomie,Industrie Agroalimentaire,3,2,2,2
P1,18,F,A2,12.12,Laboratoire & R&D,Responsable contrôle qualité labo,Pharmacologie et Industries Pharmaceutiques,P1,Biotechnologie et Agronomie,Industrie Pharmaceutique & Santé,3,2,2,2
P2,18,F,A2,12.12,Laboratoire & R&D,Responsable contrôle qualité labo,Électro-Mécanique et Informatique Industrielle,P2,Génie Industriel et Génie Civil,Industrie & Automatisme,3,2,2,2
P2,18,F,A2,12.12,Laboratoire & R&D,Responsable contrôle qualité labo,Génie Civil et Architecture,P2,Génie Industriel et Génie Civil,Bâtiment et Travaux Publics (BTP),3,2,2,2
P2,18,F,A2,12.12,Laboratoire & R&D,Responsable contrôle qualité labo,"Industries Chimiques, Minières et Pétrolières",P2,Génie Industriel et Génie Civil,"Mines, Énergie & Chimie",3,2,2,2
P3,18,F,A2,12.12,Laboratoire & R&D,Responsable contrôle qualité labo,Electronique Système Informatique et Intelligence Artificielle,P3,Informatique et Télécommunication,Électronique & High-Tech,3,2,2,2
P3,18,F,A2,12.12,Laboratoire & R&D,Responsable contrôle qualité labo,Informatique de Gestion Génie Logiciel et Intelligence Artificielle,P3,Informatique et Télécommunication,Informatique & Édition de Logiciels,3,2,2,2
P3,18,F,A2,12.12,Laboratoire & R&D,Responsable contrôle qualité labo,Informatique Multimédia Technologie de L'information et de la Communication et Intelligence Artificielle,P3,Informatique et Télécommunication,Numérique & Multimédia,3,2,2,2
P3,18,F,A2,12.12,Laboratoire & R&D,Responsable contrôle qualité labo,Informatique Statistique Appliquée et Intelligence Artificielle,P3,Informatique et Télécommunication,Data & Intelligence Artificielle,3,2,2,2
P4,18,F,A2,12.12,Laboratoire & R&D,Responsable contrôle qualité labo,Tourisme et Environnement,P4,Techniques du Tourisme,Tourisme & Environnement,3,2,2,2
P4,18,F,A2,12.12,Laboratoire & R&D,Responsable contrôle qualité labo,Tourisme et Hôtellerie,P4,Techniques du Tourisme,Hôtellerie & Restauration,3,2,2,2
P5,18,F,A2,12.12,Laboratoire & R&D,Responsable contrôle qualité labo,Commerce et Administration des Affaires,P5,Techniques des Affaires,Commerce & Marketing,3,2,2,2
P5,18,F,A2,12.12,Laboratoire & R&D,Responsable contrôle qualité labo,Droit et Techniques Juridiques des Affaires,P5,Techniques des Affaires,Droit & Juridique,3,2,2,2
P5,18,F,A2,12.12,Laboratoire & R&D,Responsable contrôle qualité labo,Economie et Management de Projet,P5,Techniques des Affaires,Management & Conseil,3,2,2,2
P5,18,F,A2,12.12,Laboratoire & R&D,Responsable contrôle qualité labo,Finances et Comptabilités,P5,Techniques des Affaires,Finance & Comptabilité,3,2,2,2
P1,21,F,C,13.65,Bureau & Télétravail,Ingénieur Génie Civil,Agriculture et Élevage,P1,Biotechnologie et Agronomie,Agriculture / Agronomie,3,2,2,2
P1,21,F,C,13.65,Bureau & Télétravail,Ingénieur Génie Civil,Industrie Agroalimentaire,P1,Biotechnologie et Agronomie,Industrie Agroalimentaire,3,2,2,2
P1,21,F,C,13.65,Bureau & Télétravail,Ingénieur Génie Civil,Pharmacologie et Industries Pharmaceutiques,P1,Biotechnologie et Agronomie,Industrie Pharmaceutique & Santé,3,2,2,2
P2,21,F,C,13.65,Bureau & Télétravail,Ingénieur Génie Civil,Électro-Mécanique et Informatique Industrielle,P2,Génie Industriel et Génie Civil,Industrie & Automatisme,3,2,2,2
P2,21,F,C,13.65,Bureau & Télétravail,Ingénieur Génie Civil,Génie Civil et Architecture,P2,Génie Industriel et Génie Civil,Bâtiment et Travaux Publics (BTP),3,2,2,2
P2,21,F,C,13.65,Bureau & Télétravail,Ingénieur Génie Civil,"Industries Chimiques, Minières et Pétrolières",P2,Génie Industriel et Génie Civil,"Mines, Énergie & Chimie",3,2,2,2
P3,21,F,C,13.65,Bureau & Télétravail,Ingénieur Génie Civil,Electronique Système Informatique et Intelligence Artificielle,P3,Informatique et Télécommunication,Électronique & High-Tech,3,2,2,2
P3,21,F,C,13.65,Bureau & Télétravail,Ingénieur Génie Civil,Informatique de Gestion Génie Logiciel et Intelligence Artificielle,P3,Informatique et Télécommunication,Informatique & Édition de Logiciels,3,2,2,2
P3,21,F,C,13.65,Bureau & Télétravail,Ingénieur Génie Civil,Informatique Multimédia Technologie de L'information et de la Communication et Intelligence Artificielle,P3,Informatique et Télécommunication,Numérique & Multimédia,3,2,2,2
P3,21,F,C,13.65,Bureau & Télétravail,Ingénieur Génie Civil,Informatique Statistique Appliquée et Intelligence Artificielle,P3,Informatique et Télécommunication,Data & Intelligence Artificielle,3,2,2,2
P4,21,F,C,13.65,Bureau & Télétravail,Ingénieur Génie Civil,Tourisme et Environnement,P4,Techniques du Tourisme,Tourisme & Environnement,3,2,2,2
P4,21,F,C,13.65,Bureau & Télétravail,Ingénieur Génie Civil,Tourisme et Hôtellerie,P4,Techniques du Tourisme,Hôtellerie & Restauration,3,2,2,2
P5,21,F,C,13.65,Bureau & Télétravail,Ingénieur Génie Civil,Commerce et Administration des Affaires,P5,Techniques des Affaires,Commerce & Marketing,3,2,2,2
P5,21,F,C,13.65,Bureau & Télétravail,Ingénieur Génie Civil,Droit et Techniques Juridiques des Affaires,P5,Techniques des Affaires,Droit & Juridique,3,2,2,2
P5,21,F,C,13.65,Bureau & Télétravail,Ingénieur Génie Civil,Economie et Management de Projet,P5,Techniques des Affaires,Management & Conseil,3,2,2,2
P5,21,F,C,13.65,Bureau & Télétravail,Ingénieur Génie Civil,Finances et Comptabilités,P5,Techniques des Affaires,Finance & Comptabilité,3,2,2,2
P1,21,M,D,12.11,Bureau & Télétravail,Ingénieur Procédés,Agriculture et Élevage,P1,Biotechnologie et Agronomie,Agriculture / Agronomie,3,2,2,2
P1,21,M,D,12.11,Bureau & Télétravail,Ingénieur Procédés,Industrie Agroalimentaire,P1,Biotechnologie et Agronomie,Industrie Agroalimentaire,3,2,2,2
P1,21,M,D,12.11,Bureau & Télétravail,Ingénieur Procédés,Pharmacologie et Industries Pharmaceutiques,P1,Biotechnologie et Agronomie,Industrie Pharmaceutique & Santé,3,2,2,2
P2,21,M,D,12.11,Bureau & Télétravail,Ingénieur Procédés,Électro-Mécanique et Informatique Industrielle,P2,Génie Industriel et Génie Civil,Industrie & Automatisme,3,2,2,2
P2,21,M,D,12.11,Bureau & Télétravail,Ingénieur Procédés,Génie Civil et Architecture,P2,Génie Industriel et Génie Civil,Bâtiment et Travaux Publics (BTP),3,2,2,2
P2,21,M,D,12.11,Bureau & Télétravail,Ingénieur Procédés,"Industries Chimiques, Minières et Pétrolières",P2,Génie Industriel et Génie Civil,"Mines, Énergie & Chimie",3,2,2,2
P3,21,M,D,12.11,Bureau & Télétravail,Ingénieur Procédés,Electronique Système Informatique et Intelligence Artificielle,P3,Informatique et Télécommunication,Électronique & High-Tech,3,2,2,2
P3,21,M,D,12.11,Bureau & Télétravail,Ingénieur Procédés,Informatique de Gestion Génie Logiciel et Intelligence Artificielle,P3,Informatique et Télécommunication,Informatique & Édition de Logiciels,3,2,2,2
P3,21,M,D,12.11,Bureau & Télétravail,Ingénieur Procédés,Informatique Multimédia Technologie de L'information et de la Communication et Intelligence Artificielle,P3,Informatique et Télécommunication,Numérique & Multimédia,3,2,2,2
P3,21,M,D,12.11,Bureau & Télétravail,Ingénieur Procédés,Informatique Statistique Appliquée et Intelligence Artificielle,P3,Informatique et Télécommunication,Data & Intelligence Artificielle,3,2,2,2
P4,21,M,D,12.11,Bureau & Télétravail,Ingénieur Procédés,Tourisme et Environnement,P4,Techniques du Tourisme,Tourisme & Environnement,3,2,2,2
P4,21,M,D,12.11,Bureau & Télétravail,Ingénieur Procédés,Tourisme et Hôtellerie,P4,Techniques du Tourisme,Hôtellerie & Restauration,3,2,2,2
P5,21,M,D,12.11,Bureau & Télétravail,Ingénieur Procédés,Commerce et Administration des Affaires,P5,Techniques des Affaires,Commerce & Marketing,3,2,2,2
P5,21,M,D,12.11,Bureau & Télétravail,Ingénieur Procédés,Droit et Techniques Juridiques des Affaires,P5,Techniques des Affaires,Droit & Juridique,3,2,2,2
P5,21,M,D,12.11,Bureau & Télétravail,Ingénieur Procédés,Economie et Management de Projet,P5,Techniques des Affaires,Management & Conseil,3,2,2,2
P5,21,M,D,12.11,Bureau & Télétravail,Ingénieur Procédés,Finances et Comptabilités,P5,Techniques des Affaires,Finance & Comptabilité,3,2,2,2
P1,21,M,S,14.84,Espaces de Coworking / Startup,Ingénieur Systèmes Embarqués,Agriculture et Élevage,P1,Biotechnologie et Agronomie,Agriculture / Agronomie,3,2,2,2
P1,21,M,S,14.84,Espaces de Coworking / Startup,Ingénieur Systèmes Embarqués,Industrie Agroalimentaire,P1,Biotechnologie et Agronomie,Industrie Agroalimentaire,3,2,2,2
P1,21,M,S,14.84,Espaces de Coworking / Startup,Ingénieur Systèmes Embarqués,Pharmacologie et Industries Pharmaceutiques,P1,Biotechnologie et Agronomie,Industrie Pharmaceutique & Santé,3,2,2,2
P2,21,M,S,14.84,Espaces de Coworking / Startup,Ingénieur Systèmes Embarqués,Électro-Mécanique et Informatique Industrielle,P2,Génie Industriel et Génie Civil,Industrie & Automatisme,3,2,2,2
P2,21,M,S,14.84,Espaces de Coworking / Startup,Ingénieur Systèmes Embarqués,Génie Civil et Architecture,P2,Génie Industriel et Génie Civil,Bâtiment et Travaux Publics (BTP),3,2,2,2
P2,21,M,S,14.84,Espaces de Coworking / Startup,Ingénieur Systèmes Embarqués,"Industries Chimiques, Minières et Pétrolières",P2,Génie Industriel et Génie Civil,"Mines, Énergie & Chimie",3,2,2,2
P3,21,M,S,14.84,Espaces de Coworking / Startup,Ingénieur Systèmes Embarqués,Electronique Système Informatique et Intelligence Artificielle,P3,Informatique et Télécommunication,Électronique & High-Tech,3,2,2,2
P3,21,M,S,14.84,Espaces de Coworking / Startup,Ingénieur Systèmes Embarqués,Informatique de Gestion Génie Logiciel et Intelligence Artificielle,P3,Informatique et Télécommunication,Informatique & Édition de Logiciels,3,2,2,2
P3,21,M,S,14.84,Espaces de Coworking / Startup,Ingénieur Systèmes Embarqués,Informatique Multimédia Technologie de L'information et de la Communication et Intelligence Artificielle,P3,Informatique et Télécommunication,Numérique & Multimédia,3,2,2,2
P3,21,M,S,14.84,Espaces de Coworking / Startup,Ingénieur Systèmes Embarqués,Informatique Statistique Appliquée et Intelligence Artificielle,P3,Informatique et Télécommunication,Data & Intelligence Artificielle,3,2,2,2
P4,21,M,S,14.84,Espaces de Coworking / Startup,Ingénieur Systèmes Embarqués,Tourisme et Environnement,P4,Techniques du Tourisme,Tourisme & Environnement,3,2,2,2
P4,21,M,S,14.84,Espaces de Coworking / Startup,Ingénieur Systèmes Embarqués,Tourisme et Hôtellerie,P4,Techniques du Tourisme,Hôtellerie & Restauration,3,2,2,2
P5,21,M,S,14.84,Espaces de Coworking / Startup,Ingénieur Systèmes Embarqués,Commerce et Administration des Affaires,P5,Techniques des Affaires,Commerce & Marketing,3,2,2,2
P5,21,M,S,14.84,Espaces de Coworking / Startup,Ingénieur Systèmes Embarqués,Droit et Techniques Juridiques des Affaires,P5,Techniques des Affaires,Droit & Juridique,3,2,2,2
P5,21,M,S,14.84,Espaces de Coworking / Startup,Ingénieur Systèmes Embarqués,Economie et Management de Projet,P5,Techniques des Affaires,Management & Conseil,3,2,2,2
P5,21,M,S,14.84,Espaces de Coworking / Startup,Ingénieur Systèmes Embarqués,Finances et Comptabilités,P5,Techniques des Affaires,Finance & Comptabilité,3,2,2,2
P1,17,F,A,13.47,Laboratoire & R&D,Data Analyst,Agriculture et Élevage,P1,Biotechnologie et Agronomie,Agriculture / Agronomie,3,2,2,2
P1,17,F,A,13.47,Laboratoire & R&D,Data Analyst,Industrie Agroalimentaire,P1,Biotechnologie et Agronomie,Industrie Agroalimentaire,3,2,2,2
P1,17,F,A,13.47,Laboratoire & R&D,Data Analyst,Pharmacologie et Industries Pharmaceutiques,P1,Biotechnologie et Agronomie,Industrie Pharmaceutique & Santé,3,2,2,2
P2,17,F,A,13.47,Laboratoire & R&D,Data Analyst,Électro-Mécanique et Informatique Industrielle,P2,Génie Industriel et Génie Civil,Industrie & Automatisme,3,2,2,2
P2,17,F,A,13.47,Laboratoire & R&D,Data Analyst,Génie Civil et Architecture,P2,Génie Industriel et Génie Civil,Bâtiment et Travaux Publics (BTP),3,2,2,2
P2,17,F,A,13.47,Laboratoire & R&D,Data Analyst,"Industries Chimiques, Minières et Pétrolières",P2,Génie Industriel et Génie Civil,"Mines, Énergie & Chimie",3,2,2,2
P3,17,F,A,13.47,Laboratoire & R&D,Data Analyst,Electronique Système Informatique et Intelligence Artificielle,P3,Informatique et Télécommunication,Électronique & High-Tech,3,2,2,2
P3,17,F,A,13.47,Laboratoire & R&D,Data Analyst,Informatique de Gestion Génie Logiciel et Intelligence Artificielle,P3,Informatique et Télécommunication,Informatique & Édition de Logiciels,3,2,2,2
P3,17,F,A,13.47,Laboratoire & R&D,Data Analyst,Informatique Multimédia Technologie de L'information et de la Communication et Intelligence Artificielle,P3,Informatique et Télécommunication,Numérique & Multimédia,3,2,2,2
P3,17,F,A,13.47,Laboratoire & R&D,Data Analyst,Informatique Statistique Appliquée et Intelligence Artificielle,P3,Informatique et Télécommunication,Data & Intelligence Artificielle,3,2,2,2
P4,17,F,A,13.47,Laboratoire & R&D,Data Analyst,Tourisme et Environnement,P4,Techniques du Tourisme,Tourisme & Environnement,3,2,2,2
P4,17,F,A,13.47,Laboratoire & R&D,Data Analyst,Tourisme et Hôtellerie,P4,Techniques du Tourisme,Hôtellerie & Restauration,3,2,2,2
P5,17,F,A,13.47,Laboratoire & R&D,Data Analyst,Commerce et Administration des Affaires,P5,Techniques des Affaires,Commerce & Marketing,3,2,2,2
P5,17,F,A,13.47,Laboratoire & R&D,Data Analyst,Droit et Techniques Juridiques des Affaires,P5,Techniques des Affaires,Droit & Juridique,3,2,2,2
P5,17,F,A,13.47,Laboratoire & R&D,Data Analyst,Economie et Management de Projet,P5,Techniques des Affaires,Management & Conseil,3,2,2,2
P5,17,F,A,13.47,Laboratoire & R&D,Data Analyst,Finances et Comptabilités,P5,Techniques des Affaires,Finance & Comptabilité,3,2,2,2
P1,19,M,A1,13.88,Sur le terrain / Chantier,Chef de projet Développement Durable,Agriculture et Élevage,P1,Biotechnologie et Agronomie,Agriculture / Agronomie,3,2,2,2
P1,19,M,A1,13.88,Sur le terrain / Chantier,Chef de projet Développement Durable,Industrie Agroalimentaire,P1,Biotechnologie et Agronomie,Industrie Agroalimentaire,3,2,2,2
P1,19,M,A1,13.88,Sur le terrain / Chantier,Chef de projet Développement Durable,Pharmacologie et Industries Pharmaceutiques,P1,Biotechnologie et Agronomie,Industrie Pharmaceutique & Santé,3,2,2,2
P2,19,M,A1,13.88,Sur le terrain / Chantier,Chef de projet Développement Durable,Électro-Mécanique et Informatique Industrielle,P2,Génie Industriel et Génie Civil,Industrie & Automatisme,3,2,2,2
P2,19,M,A1,13.88,Sur le terrain / Chantier,Chef de projet Développement Durable,Génie Civil et Architecture,P2,Génie Industriel et Génie Civil,Bâtiment et Travaux Publics (BTP),3,2,2,2
P2,19,M,A1,13.88,Sur le terrain / Chantier,Chef de projet Développement Durable,"Industries Chimiques, Minières et Pétrolières",P2,Génie Industriel et Génie Civil,"Mines, Énergie & Chimie",3,2,2,2
P3,19,M,A1,13.88,Sur le terrain / Chantier,Chef de projet Développement Durable,Electronique Système Informatique et Intelligence Artificielle,P3,Informatique et Télécommunication,Électronique & High-Tech,3,2,2,2
P3,19,M,A1,13.88,Sur le terrain / Chantier,Chef de projet Développement Durable,Informatique de Gestion Génie Logiciel et Intelligence Artificielle,P3,Informatique et Télécommunication,Informatique & Édition de Logiciels,3,2,2,2
P3,19,M,A1,13.88,Sur le terrain / Chantier,Chef de projet Développement Durable,Informatique Multimédia Technologie de L'information et de la Communication et Intelligence Artificielle,P3,Informatique et Télécommunication,Numérique & Multimédia,3,2,2,2
P3,19,M,A1,13.88,Sur le terrain / Chantier,Chef de projet Développement Durable,Informatique Statistique Appliquée et Intelligence Artificielle,P3,Informatique et Télécommunication,Data & Intelligence Artificielle,3,2,2,2
P4,19,M,A1,13.88,Sur le terrain / Chantier,Chef de projet Développement Durable,Tourisme et Environnement,P4,Techniques du Tourisme,Tourisme & Environnement,3,2,2,2
P4,19,M,A1,13.88,Sur le terrain / Chantier,Chef de projet Développement Durable,Tourisme et Hôtellerie,P4,Techniques du Tourisme,Hôtellerie & Restauration,3,2,2,2
P5,19,M,A1,13.88,Sur le terrain / Chantier,Chef de projet Développement Durable,Commerce et Administration des Affaires,P5,Techniques des Affaires,Commerce & Marketing,3,2,2,2
P5,19,M,A1,13.88,Sur le terrain / Chantier,Chef de projet Développement Durable,Droit et Techniques Juridiques des Affaires,P5,Techniques des Affaires,Droit & Juridique,3,2,2,2
P5,19,M,A1,13.88,Sur le terrain / Chantier,Chef de projet Développement Durable,Economie et Management de Projet,P5,Techniques des Affaires,Management & Conseil,3,2,2,2
P5,19,M,A1,13.88,Sur le terrain / Chantier,Chef de projet Développement Durable,Finances et Comptabilités,P5,Techniques des Affaires,Finance & Comptabilité,3,2,2,2
P1,21,F,L,12.89,Entreprise industrielle,Chef de Produit Marketing,Agriculture et Élevage,P1,Biotechnologie et Agronomie,Agriculture / Agronomie,3,2,2,2
P1,21,F,L,12.89,Entreprise industrielle,Chef de Produit Marketing,Industrie Agroalimentaire,P1,Biotechnologie et Agronomie,Industrie Agroalimentaire,3,2,2,2
P1,21,F,L,12.89,Entreprise industrielle,Chef de Produit Marketing,Pharmacologie et Industries Pharmaceutiques,P1,Biotechnologie et Agronomie,Industrie Pharmaceutique & Santé,3,2,2,2
P2,21,F,L,12.89,Entreprise industrielle,Chef de Produit Marketing,Électro-Mécanique et Informatique Industrielle,P2,Génie Industriel et Génie Civil,Industrie & Automatisme,3,2,2,2
P2,21,F,L,12.89,Entreprise industrielle,Chef de Produit Marketing,Génie Civil et Architecture,P2,Génie Industriel et Génie Civil,Bâtiment et Travaux Publics (BTP),3,2,2,2
P2,21,F,L,12.89,Entreprise industrielle,Chef de Produit Marketing,"Industries Chimiques, Minières et Pétrolières",P2,Génie Industriel et Génie Civil,"Mines, Énergie & Chimie",3,2,2,2
P3,21,F,L,12.89,Entreprise industrielle,Chef de Produit Marketing,Electronique Système Informatique et Intelligence Artificielle,P3,Informatique et Télécommunication,Électronique & High-Tech,3,2,2,2
P3,21,F,L,12.89,Entreprise industrielle,Chef de Produit Marketing,Informatique de Gestion Génie Logiciel et Intelligence Artificielle,P3,Informatique et Télécommunication,Informatique & Édition de Logiciels,3,2,2,2
P3,21,F,L,12.89,Entreprise industrielle,Chef de Produit Marketing,Informatique Multimédia Technologie de L'information et de la Communication et Intelligence Artificielle,P3,Informatique et Télécommunication,Numérique & Multimédia,3,2,2,2
P3,21,F,L,12.89,Entreprise industrielle,Chef de Produit Marketing,Informatique Statistique Appliquée et Intelligence Artificielle,P3,Informatique et Télécommunication,Data & Intelligence Artificielle,3,2,2,2
P4,21,F,L,12.89,Entreprise industrielle,Chef de Produit Marketing,Tourisme et Environnement,P4,Techniques du Tourisme,Tourisme & Environnement,3,2,2,2
P4,21,F,L,12.89,Entreprise industrielle,Chef de Produit Marketing,Tourisme et Hôtellerie,P4,Techniques du Tourisme,Hôtellerie & Restauration,3,2,2,2
P5,21,F,L,12.89,Entreprise industrielle,Chef de Produit Marketing,Commerce et Administration des Affaires,P5,Techniques des Affaires,Commerce & Marketing,3,2,2,2
P5,21,F,L,12.89,Entreprise industrielle,Chef de Produit Marketing,Droit et Techniques Juridiques des Affaires,P5,Techniques des Affaires,Droit & Juridique,3,2,2,2
P5,21,F,L,12.89,Entreprise industrielle,Chef de Produit Marketing,Economie et Management de Projet,P5,Techniques des Affaires,Management & Conseil,3,2,2,2
P5,21,F,L,12.89,Entreprise industrielle,Chef de Produit Marketing,Finances et Comptabilités,P5,Techniques des Affaires,Finance & Comptabilité,3,2,2,2
P1,20,F,C,15.19,Sur le terrain / Chantier,Gestionnaire de Contrats,Agriculture et Élevage,P1,Biotechnologie et Agronomie,Agriculture / Agronomie,3,2,2,2
P1,20,F,C,15.19,Sur le terrain / Chantier,Gestionnaire de Contrats,Industrie Agroalimentaire,P1,Biotechnologie et Agronomie,Industrie Agroalimentaire,3,2,2,2
P1,20,F,C,15.19,Sur le terrain / Chantier,Gestionnaire de Contrats,Pharmacologie et Industries Pharmaceutiques,P1,Biotechnologie et Agronomie,Industrie Pharmaceutique & Santé,3,2,2,2
P2,20,F,C,15.19,Sur le terrain / Chantier,Gestionnaire de Contrats,Électro-Mécanique et Informatique Industrielle,P2,Génie Industriel et Génie Civil,Industrie & Automatisme,3,2,2,2
P2,20,F,C,15.19,Sur le terrain / Chantier,Gestionnaire de Contrats,Génie Civil et Architecture,P2,Génie Industriel et Génie Civil,Bâtiment et Travaux Publics (BTP),3,2,2,2
P2,20,F,C,15.19,Sur le terrain / Chantier,Gestionnaire de Contrats,"Industries Chimiques, Minières et Pétrolières",P2,Génie Industriel et Génie Civil,"Mines, Énergie & Chimie",3,2,2,2
P3,20,F,C,15.19,Sur le terrain / Chantier,Gestionnaire de Contrats,Electronique Système Informatique et Intelligence Artificielle,P3,Informatique et Télécommunication,Électronique & High-Tech,3,2,2,2
P3,20,F,C,15.19,Sur le terrain / Chantier,Gestionnaire de Contrats,Informatique de Gestion Génie Logiciel et Intelligence Artificielle,P3,Informatique et Télécommunication,Informatique & Édition de Logiciels,3,2,2,2
P3,20,F,C,15.19,Sur le terrain / Chantier,Gestionnaire de Contrats,Informatique Multimédia Technologie de L'information et de la Communication et Intelligence Artificielle,P3,Informatique et Télécommunication,Numérique & Multimédia,3,2,2,2
P3,20,F,C,15.19,Sur le terrain / Chantier,Gestionnaire de Contrats,Informatique Statistique Appliquée et Intelligence Artificielle,P3,Informatique et Télécommunication,Data & Intelligence Artificielle,3,2,2,2
P4,20,F,C,15.19,Sur le terrain / Chantier,Gestionnaire de Contrats,Tourisme et Environnement,P4,Techniques du Tourisme,Tourisme & Environnement,3,2,2,2
P4,20,F,C,15.19,Sur le terrain / Chantier,Gestionnaire de Contrats,Tourisme et Hôtellerie,P4,Techniques du Tourisme,Hôtellerie & Restauration,3,2,2,2
P5,20,F,C,15.19,Sur le terrain / Chantier,Gestionnaire de Contrats,Commerce et Administration des Affaires,P5,Techniques des Affaires,Commerce & Marketing,3,2,2,2
P5,20,F,C,15.19,Sur le terrain / Chantier,Gestionnaire de Contrats,Droit et Techniques Juridiques des Affaires,P5,Techniques des Affaires,Droit & Juridique,3,2,2,2
P5,20,F,C,15.19,Sur le terrain / Chantier,Gestionnaire de Contrats,Economie et Management de Projet,P5,Techniques des Affaires,Management & Conseil,3,2,2,2
P5,20,F,C,15.19,Sur le terrain / Chantier,Gestionnaire de Contrats,Finances et Comptabilités,P5,Techniques des Affaires,Finance & Comptabilité,3,2,2,2
P1,19,F,D,14.21,Entreprise industrielle,Scrum Master,Agriculture et Élevage,P1,Biotechnologie et Agronomie,Agriculture / Agronomie,3,2,2,2
P1,19,F,D,14.21,Entreprise industrielle,Scrum Master,Industrie Agroalimentaire,P1,Biotechnologie et Agronomie,Industrie Agroalimentaire,3,2,2,2
P1,19,F,D,14.21,Entreprise industrielle,Scrum Master,Pharmacologie et Industries Pharmaceutiques,P1,Biotechnologie et Agronomie,Industrie Pharmaceutique & Santé,3,2,2,2
P2,19,F,D,14.21,Entreprise industrielle,Scrum Master,Électro-Mécanique et Informatique Industrielle,P2,Génie Industriel et Génie Civil,Industrie & Automatisme,3,2,2,2
P2,19,F,D,14.21,Entreprise industrielle,Scrum Master,Génie Civil et Architecture,P2,Génie Industriel et Génie Civil,Bâtiment et Travaux Publics (BTP),3,2,2,2
P2,19,F,D,14.21,Entreprise industrielle,Scrum Master,"Industries Chimiques, Minières et Pétrolières",P2,Génie Industriel et Génie Civil,"Mines, Énergie & Chimie",3,2,2,2
P3,19,F,D,14.21,Entreprise industrielle,Scrum Master,Electronique Système Informatique et Intelligence Artificielle,P3,Informatique et Télécommunication,Électronique & High-Tech,3,2,2,2
